KxIndex	y	rr_y	proba_rr_y	bar_rr_y
1	no	0.10097841943832889	0.053315970185646877	0.8596448730916082
2	no	-0.018423548292783216	0.036392451035145143	0.54941479271132865
3	no	-0.10024774607878233	0.024576867247231508	0.43991898843216865
4	no	8.1903409215117878e-005	0.050253380901122767	0.78919097786919568
5	no	0.082368888438919916	0.053056537257046635	0.79892253217908671
6	no	0.01118369003913855	0.051028263157003317	0.6277115559580928
7	no	0.080242847958096469	0.053026898417234916	0.79612064177205633
8	no	-0.037753056893480963	0.035072942854332156	0.48413396226335836
9	no	0.034545951008980572	0.052430707221273583	0.71401463458175285
10	no	0.026238416419243862	0.052084735634552654	0.72547542196338322
11	no	-0.010242362195738316	0.037255483805525874	0.59353627885252969
12	no	0.099764912232612718	0.053299052847522323	0.85249554180852638
13	no	-0.070400474178758388	0.033746613251867931	0.55487101441192477
14	no	0.025573454223761602	0.05203800693597025	0.72936270382693802
15	no	-0.049814431250748317	0.034582939074962425	0.49208269989707587
16	no	-0.019806483399609793	0.036280930385227332	0.55783340728487418
17	no	-0.0052964374003155214	0.043006603277489779	0.65365968358227766
18	no	-0.078960295092111568	0.03203905566226653	0.5536185725857512
19	no	0.084838002538336205	0.053090958839292858	0.80217655634815543
20	no	-0.053077219871061565	0.034450385461428763	0.46790830745714673
21	no	0.0067536838170025072	0.050719057681398054	0.64875196878479313
22	no	0.0079723060352050318	0.050804115047836863	0.62495948797619305
23	no	-0.067219112852890187	0.033875858811042277	0.55539063642956354
24	no	0.019728199237240437	0.051627245000542714	0.75716013673088822
25	no	-0.084221916939896488	0.030340484410751406	0.55299015333171131
26	no	-0.09627795388633105	0.02606990369701432	0.41152487714304864
27	no	0.046186766950609776	0.052578916072093314	0.76107689726537053
28	no	-0.10492786988481216	0.023504611224060161	0.47002955888333475
29	no	-0.081785504751192423	0.031127013701585181	0.55328114504005754
30	no	-0.020935028339048662	0.036189923898743329	0.56470342224592507
31	no	0.0060300670680387448	0.050668550695673914	0.66301317518409042
32	no	-0.0027243979086476848	0.048402339618127191	0.74139919747020588
33	no	0.012864695542496862	0.051145593941678912	0.66326324966600925
34	no	0.038755287845760752	0.052484299768258316	0.76302400959608585
35	no	0.034115978008682948	0.05242523287956273	0.7080267418875319
36	no	-0.040624474686828213	0.034956289019602127	0.5323622856071637
37	no	0.0033712208702790548	0.050482968607993881	0.72008057114726431
38	no	-0.0053643091630073726	0.042927682017632598	0.65089281418046196
39	no	0.010552323101078731	0.050984195021525597	0.61435873590226031
40	no	-0.0099925069130118137	0.037546015433299766	0.59423087189450641
41	no	0.02992270859545948	0.05234364084715204	0.70100446146989226
42	no	-0.082642913157522369	0.03085022275918544	0.55317874088280328
43	no	0.079878246944833323	0.053021815564333115	0.79564013724231186
44	no	0.0039997081179853101	0.050526835746908451	0.70508838794916595
45	no	0.059780545589032258	0.052751989705453799	0.74169167810506298
46	no	-0.04888778705189431	0.034620584798088161	0.50510136372319037
47	no	-0.021680896464813058	0.036129776681619673	0.57155201615092599
48	no	-0.09324105769252311	0.027212078524246813	0.41737996711788616
49	no	0.0082972958469522823	0.05082679867947739	0.61863182047733623
50	no	0.082283361203465882	0.053055344933544787	0.79880981657337746
51	no	-0.022813645456426796	0.036038431178049092	0.58772803813783048
52	no	-0.064660041510797794	0.033979823300673305	0.63106802770456893
53	no	-0.015967639347394893	0.036590496887316137	0.56594878649875402
54	no	-0.031648232203653051	0.035326005229107255	0.56246635152630298
55	no	-0.019913801417769234	0.03627227620104042	0.55848670549620838
56	no	0.049885765906371976	0.052626011085635825	0.75421147589052628
57	no	0.058450368458703078	0.052735054120795356	0.74227613023887296
58	no	-0.028166061617532549	0.035606809386129437	0.64552300042131883
59	no	-0.0062235397041397016	0.041928569071033539	0.61586530643532988
60	no	-0.058800494385145605	0.034217872477484951	0.65104761215133111
61	no	-0.02291232399053578	0.036030473686622023	0.5891371995223913
62	no	-0.0011543451148117202	0.050167093254182685	0.76851040279014482
63	no	-0.056587100353402045	0.034307793526999114	0.53216573518195842
64	no	0.00025103532329991476	0.050265185966694298	0.79202029995089263
65	no	-0.040242589883196178	0.034971803420492178	0.5260205809888332
66	no	0.039940371687164647	0.052499388050311756	0.76450909530855315
67	no	0.18833848270463199	0.13100845908354666	1.153334726704053
68	no	0.10454849813726398	0.061687365005265504	0.88067785518280051
69	no	-0.038710397512106309	0.035034050062567677	0.50026919758597987
70	no	0.0094289089049172936	0.050905782982488254	0.59659891080035221
